region,date,lat,lon,sst_fahrenheit
San Diego,2025-07-01,33.387454180602774,-117.78428371617112,290.57675
San Diego,2025-07-01,33.388261600686484,-117.75983968980613,290.4529
San Diego,2025-07-01,33.3890699902574,-117.73539602790225,290.40652
San Diego,2025-07-01,33.38987956490135,-117.71094621708984,290.28577
San Diego,2025-07-01,33.39069032556787,-117.68649024596438,290.05606
San Diego,2025-07-01,33.391502273207976,-117.66202810310288,290.00888
San Diego,2025-07-01,33.35123669167571,-118.15649057296396,290.60056
San Diego,2025-07-01,33.35202513813677,-118.13215322090437,290.46637
San Diego,2025-07-01,33.35281475295568,-118.1078099073302,290.48434
San Diego,2025-07-01,33.35360553704469,-118.08346062115335,290.52182
San Diego,2025-07-01,33.35439749131886,-118.05910535126704,290.58447
San Diego,2025-07-01,33.355190616694934,-118.0347440865464,290.76648
San Diego,2025-07-01,33.35598512560939,-118.01037033094217,290.8906
San Diego,2025-07-01,33.35678059626054,-117.98599704150246,291.1483
San Diego,2025-07-01,33.35757724077673,-117.96161772374114,291.2478
San Diego,2025-07-01,33.35837506008392,-117.9372323664593,291.28928
San Diego,2025-07-01,33.35917405510893,-117.91284095844046,291.19296
San Diego,2025-07-01,33.35997422678174,-117.88844348844884,291.14035
San Diego,2025-07-01,33.36077557603412,-117.8640399452302,291.0389
San Diego,2025-07-01,33.36157810379992,-117.83963031751178,291.00058
San Diego,2025-07-01,33.362381811015126,-117.81521459400197,290.90903
San Diego,2025-07-01,33.36318669861791,-117.79079276339043,290.7278
San Diego,2025-07-01,33.36399298220006,-117.76635831328008,290.60898
San Diego,2025-07-01,33.36480023371599,-117.74192423282577,290.49454
San Diego,2025-07-01,33.36560866844739,-117.7174840112221,290.46188
San Diego,2025-07-01,33.36641828734141,-117.69303763708274,290.35568
San Diego,2025-07-01,33.367229091346566,-117.66858509900287,290.23672
San Diego,2025-07-01,33.32699668931659,-118.16284625458776,290.14
San Diego,2025-07-01,33.32778402929714,-118.13851834480312,290.2569
San Diego,2025-07-01,33.32857253581737,-118.11418448096084,290.3152
San Diego,2025-07-01,33.32936220978756,-118.08984465198986,290.40585
San Diego,2025-07-01,33.33015305212041,-118.06549884680088,290.48764
San Diego,2025-07-01,33.330945063730525,-118.04114705428634,290.56058
San Diego,2025-07-01,33.33173845675537,-118.01678278093766,290.79385
San Diego,2025-07-01,33.33253280998415,-117.99241897877585,291.0685
San Diego,2025-07-01,33.33332833524743,-117.96804915585294,291.12732
San Diego,2025-07-01,33.33412503346785,-117.9436733009884,291.19742
San Diego,2025-07-01,33.33492290557056,-117.9192914029829,291.127
San Diego,2025-07-01,33.335721952483446,-117.89490345061816,291.10495
San Diego,2025-07-01,33.33652217513602,-117.87050943265767,291.12222
San Diego,2025-07-01,33.337323574459525,-117.84610933784654,291.03085
San Diego,2025-07-01,33.33812615138787,-117.82170315491086,291.039
San Diego,2025-07-01,33.33892990685731,-117.7972908725578,290.97098
San Diego,2025-07-01,33.33973505615504,-117.77286598095218,290.81348
San Diego,2025-07-01,33.34054117183698,-117.74844146418091,290.66263
San Diego,2025-07-01,33.341348468881115,-117.72401081399822,290.60226
San Diego,2025-07-01,33.342156948231505,-117.6995740190364,290.52985
San Diego,2025-07-01,33.3429666108357,-117.67513106790763,290.38223
San Diego,2025-07-01,33.34377745764222,-117.65068194920592,290.32443
San Diego,2025-07-01,33.34458948960235,-117.62622665150569,290.31754
San Diego,2025-07-01,33.34540270766944,-117.60176516336229,290.2007
San Diego,2025-07-01,33.34621711279937,-117.57729747331156,290.01895
San Diego,2025-07-01,33.347032705949445,-117.5528235698706,290.17786
